지점번호,지점명,일시,습도,최저습도(%rh)
108,서울,2016-12-10,47.6,27
108,서울,2016-12-11,42.6,20
108,서울,2016-12-12,37.9,26
108,서울,2016-12-13,53.6,39
108,서울,2016-12-14,68.1,56
108,서울,2016-12-15,41.8,25
108,서울,2016-12-16,40.3,21
108,서울,2016-12-17,60.1,42
108,서울,2016-12-18,68.8,56
108,서울,2016-12-19,66,49
108,서울,2016-12-20,71.3,50
108,서울,2016-12-21,75.5,48
108,서울,2016-12-22,90.3,76
108,서울,2016-12-23,71.1,60
108,서울,2016-12-24,66,51
108,서울,2016-12-25,69.5,49
108,서울,2016-12-26,73.8,62
108,서울,2016-12-27,54.6,26
108,서울,2016-12-28,49,25
108,서울,2016-12-29,53.1,29
108,서울,2016-12-30,50.9,28
108,서울,2016-12-31,65.4,51
108,서울,2017-01-01,75.9,59
108,서울,2017-01-02,77.8,57
108,서울,2017-01-03,61.8,38
108,서울,2017-01-04,55,31
108,서울,2017-01-05,52.3,42
108,서울,2017-01-06,58.5,42
108,서울,2017-01-07,64.9,46
108,서울,2017-01-08,61.4,45
108,서울,2017-01-09,60.8,41
108,서울,2017-01-10,45.1,25
108,서울,2017-01-11,36.4,24
108,서울,2017-01-12,43.1,21
108,서울,2017-01-13,47.4,27
108,서울,2017-01-14,33.3,22
108,서울,2017-01-15,35.3,25
108,서울,2017-01-16,37.6,17
108,서울,2017-01-17,46.6,25
108,서울,2017-01-18,68.9,53
108,서울,2017-01-19,55.4,33
108,서울,2017-01-20,70.3,47
108,서울,2017-01-21,78.1,48
108,서울,2017-01-22,51.3,38
108,서울,2017-01-23,48.4,33
108,서울,2017-01-24,49.6,28
108,서울,2017-01-25,50.6,28
108,서울,2017-01-26,64.4,44
108,서울,2017-01-27,47.3,28
108,서울,2017-01-28,38,17
108,서울,2017-01-29,71.1,33
108,서울,2017-01-30,61.4,44
108,서울,2017-01-31,44.8,26
108,서울,2017-02-01,44.5,27
108,서울,2017-02-02,52.9,22
108,서울,2017-02-03,65.4,39
108,서울,2017-02-04,69.4,56
108,서울,2017-02-05,75.3,59
108,서울,2017-02-06,51,33
108,서울,2017-02-07,45.4,29
108,서울,2017-02-08,50.1,31
108,서울,2017-02-09,47,30
108,서울,2017-02-10,44.3,29
108,서울,2017-02-11,45.4,31
108,서울,2017-02-12,51.3,30
108,서울,2017-02-13,59.6,31
108,서울,2017-02-14,46,22
108,서울,2017-02-15,52.1,28
108,서울,2017-02-16,63.9,38
108,서울,2017-02-17,56.9,27
